Order,Member,SKU,Created On,Description,Member's Gender,Member's Membership Level,Member's Purchase History,Order Value,Payment Method,Order Status,Total_Items,Age Group
7426472,M33422,"7572254, 7537178, 15669787, 7689353",15-09-2013,"Cooking Sauce, Honey, Raw Rice, Ground Coffee",Female,Silver,10,195,Cash,Pending,4,55+
7426859,M48938,"7598720, 92388167, 7586314, 15668416, 7572307, 7572254",15-09-2013,"Agarbatti, Snacks, Snacky Nuts, Banana, Snacks, Cooking Sauce",Female,Silver,4,384,Cash,Shipped,6,55+
7426935,M91098,"15668451, 15669829, 21408913, 7624790, 15669775, 15669987, 15669875, 15669863, 34986126, 15669781, 15669815, 15669783, 21408952, 15669821, 21410625, 15670270, 15669785, 29247171, 15668378",15-09-2013,"Brinjals, Raw Rice, Whole Spices, Ghee, Millet flour, Other Rice Products, Kidney Beans, Moong Dal, Whole Spices, Rice Flour, Jaggery, Millet flour, Whole Spices, Whole Spices, Organic Rice & Rice Products, Other Pulses, Boiled Rice, Whole Spices, Other Vegetables",Female,Silver,5,578,Cash,Delivered,19,55+
7426994,M32449,"15668470, 15668378, 15669774, 15668467",15-09-2013,"Beans, Other Vegetables, Urad Dal, Beans",Male,Silver,7,266,PayPal,Pending,4,55+
7427507,M37600,"7587698, 7587490, 7587648, 7587672, 7587495, 7543241, 15669790, 7587675",16-09-2013,"Organic Flours, Organic Pulses & Pulses, Organic Rice & Rice Products, Organic Masalas & Spices, Organic Pulses & Pulses, Organic Pulses & Pulses, Other Rice Products, Organic Pulses & Pulses",Male,Silver,8,603,PayPal,Delivered,8,55+
7427753,M57327,"7580823, 15669880, 7579535, 15669838, 15669832, 15668377",16-09-2013,"Sunflower Oils, Millet flour, Other Sweets, Raw Rice, Sugar, Root Vegetables",Male,Bronze,9,95,Cash,Shipped,6,55+
7427801,M86572,"15668375, 15668378, 15668460, 15668471, 15668477, 15668467",15-09-2013,"Root Vegetables, Other Vegetables, Gourd & Cucumber, Beans, Exotic Vegetables, Beans",Female,Gold,0,215,PayPal,Delivered,6,0-18
7427871,M40184,"92435740, 15668453, 15668468",16-09-2013,"Cooking Sauce, Brinjals, Beans",Female,Gold,4,216,PayPal,Delivered,3,55+
7427949,M42182,"15669799, 21409004, 15669863, 15669803, 15669992",16-09-2013,"Raisins, Other Pulses, Moong Dal, Cashews, Other Pulses",Female,Silver,7,376,PayPal,Shipped,5,19-25
7427978,M12050,"15669767, 7593949, 15668465, 15668688, 21409002, 15668416, 15670157, 15669815, 7572311, 15669799",16-09-2013,"Urad Dal, Cream Biscuits, Root Vegetables, Root Vegetables, Moong Dal, Banana, Organic F&V, Jaggery, Snacks, Raisins",Female,Silver,6,852,Cash,Shipped,10,36-45
7428462,M25900,"15668462, 15668478, 15668460, 15668467, 7575476, 15668381, 15668378, 15669880",16-09-2013,"Gourd & Cucumber, Banana, Gourd & Cucumber, Beans, Pain Relievers, Other Vegetables, Other Vegetables, Millet flour",Female,Gold,2,704,PayPal,Pending,8,55+
7428498,M35649,"15669880, 15670260, 15669810, 15668521, 15670196, 15669799",17-09-2013,"Millet flour, Organic F&V, Almonds, Bread, Organic F&V, Raisins",Female,Gold,0,709,PayPal,Pending,6,0-18
7428582,M58761,"15668379, 15668478, 15668460, 15668375, 15670196",17-09-2013,"Other Vegetables, Banana, Gourd & Cucumber, Root Vegetables, Organic F&V",Male,Bronze,6,493,PayPal,Delivered,5,55+
7428589,M46575,"15668451, 15669866, 7572432, 15669878, 15668467, 15668381, 15668688, 15668462, 15668378, 15668460, 15669856, 93289485",17-09-2013,"Brinjals, Other Pulses, Cooking Paste, Kidney Beans, Beans, Other Vegetables, Root Vegetables, Gourd & Cucumber, Other Vegetables, Gourd & Cucumber, Sugar, Phenyles & Acids",Male,Gold,8,874,PayPal,Shipped,12,46-55
7428788,M46325,"15669822, 15668460, 15669958, 21409002, 15669961, 15668378, 15668462, 15668465, 15668467, 15669823",16-09-2013,"Other Pulses, Gourd & Cucumber, Other Dry Fruits, Moong Dal, Other Dry Fruits, Other Vegetables, Gourd & Cucumber, Root Vegetables, Beans, Whole Spices",Male,Silver,6,852,PayPal,Shipped,10,55+
7429031,M56368,"15669773, 15669994, 15668457, 15668688, 15668685, 15668467, 15669861, 15668460, 15668379, 15670270",16-09-2013,"Urad Dal, Other Pulses, Brinjals, Root Vegetables, Beans, Beans, Raw Peanuts, Gourd & Cucumber, Other Vegetables, Other Pulses",Female,Gold,8,727,Cash,Shipped,10,36-45
7429164,M31101,"15669792, 15669811, 15669856, 15668477, 15668460, 7587701",17-09-2013,"Other Dry Fruits, Almonds, Sugar, Exotic Vegetables, Gourd & Cucumber, Organic Flours",Male,Bronze,1,893,PayPal,Shipped,6,55+
7429339,M62833,15669791,17-09-2013,Raw Rice,Female,Silver,8,965,PayPal,Delivered,1,26-35
7429340,M76390,"15669872, 34987568, 7569807, 7572298",17-09-2013,"Avalakki / Poha, Whole Spices, Snacks, Snacks",Female,Silver,6,667,Credit Card,Pending,4,55+
7429630,M43831,"15669988, 15669799, 93141093, 7664954, 15669780, 15669859",17-09-2013,"Other Pulses, Raisins, Curd, Butter & Cream, Sugar, Kidney Beans",Female,Bronze,8,829,PayPal,Pending,6,55+
7429997,M52629,"93059889, 7569807, 7601953, 7585571, 92910989, 7587491, 7586304, 15670252",17-09-2013,"Corn Snacks, Snacks, Corn Snacks, Cakes, Healthy Snacks, Organic Flours, Snacks, Organic F&V",Female,Bronze,0,902,Credit Card,Delivered,8,26-35
7430024,M35464,"21410682, 15669869",17-09-2013,"Organic Flours, Moong Dal",Female,Gold,6,264,Credit Card,Delivered,2,55+
7430120,M35464,"15669832, 15669818, 15669835, 34986125",17-09-2013,"Sugar, Whole Spices, Raw Rice, Whole Spices",Female,Gold,2,294,PayPal,Shipped,4,46-55
7430189,M46328,92910993,18-09-2013,Snacks,Male,Silver,2,856,Credit Card,Shipped,1,0-18
7430191,M27871,"15669832, 15668380, 7572254, 15669772",18-09-2013,"Sugar, Other Vegetables, Cooking Sauce, Other Pulses",Female,Silver,5,746,Credit Card,Delivered,4,55+
7430407,M33064,"15669872, 15668688, 15668476, 15670240, 15668416, 15668466, 15668460, 15668380, 15670252, 15668468, 15668471",18-09-2013,"Avalakki / Poha, Root Vegetables, Exotic Vegetables, Organic F&V, Banana, Root Vegetables, Gourd & Cucumber, Other Vegetables, Organic F&V, Beans, Beans",Female,Gold,2,945,Credit Card,Delivered,11,19-25
7430530,M38622,"7587677, 15668688, 15670192, 34986135, 7572858, 15668460, 15670157, 15670260, 15670252, 7587495, 7587665, 15669760",18-09-2013,"Organic Pulses & Pulses, Root Vegetables, Organic F&V, Whole Spices, Other Pooja Needs, Gourd & Cucumber, Organic F&V, Organic F&V, Organic F&V, Organic Pulses & Pulses, Organic Masalas & Spices, Whole Spices",Male,Bronze,10,601,Cash,Pending,12,55+
7430647,M32480,"15668685, 15668375, 15670192, 15668468, 15669881",18-09-2013,"Beans, Root Vegetables, Organic F&V, Beans, Millet flour",Male,Bronze,1,232,Credit Card,Delivered,5,55+
7430797,M54619,"34986123, 15668449, 15670157, 7607304, 15668379",17-09-2013,"Whole Spices, Exotic Vegetables, Organic F&V, Oats, Other Vegetables",Male,Bronze,9,404,PayPal,Pending,5,55+
7431013,M09303,"7572298, 15668381, 15668541, 15668471, 21408947, 15669857",17-09-2013,"Snacks, Other Vegetables, Buns & Pavs, Beans, Other Rice Products, Raw Peanuts",Male,Gold,9,86,Cash,Shipped,6,55+
7431576,M16218,"15668478, 15668378, 15668377, 7571385",18-09-2013,"Banana, Other Vegetables, Root Vegetables, Glucose, Marie & Milk Biscuits",Female,Silver,3,554,Cash,Pending,4,55+
7431650,M48101,"93141023, 15668688, 7642810, 93156751, 7587863, 15669878",18-09-2013,"Yogurt & Lassi, Root Vegetables, Basmati Rice, Ground Coffee, Jams & Sauces, Kidney Beans",Female,Bronze,9,362,Cash,Delivered,6,55+
7431987,M42182,"21408947, 15668381, 15668448, 15668478",18-09-2013,"Other Rice Products, Other Vegetables, Exotic Vegetables, Banana",Female,Bronze,8,997,Credit Card,Pending,4,26-35
7432888,M51278,"7580089, 15668478, 93141022, 7586311, 34987954, 7580034, 93141023",19-09-2013,"Ice Creams & Desserts, Banana, Yogurt & Lassi, Chips, Corn Snacks, Ice Creams & Desserts, Yogurt & Lassi",Male,Gold,7,19,Credit Card,Shipped,7,55+
7433220,M48154,"7594818, 15669865, 15668375",19-09-2013,"Instant Noodles, Other Pulses, Root Vegetables",Female,Gold,7,672,Credit Card,Pending,3,55+
7433222,M64379,"7753739, 7587673, 15668375, 15669789, 15668468, 15668465, 15669887, 15668478, 93009339, 15668521, 7587658, 7587668",19-09-2013,"Health Drinks, Organic Pulses & Pulses, Root Vegetables, Boiled Rice, Beans, Root Vegetables, Maida, Banana, Organic Flours, Bread, Organic Salt,Sugar & Jaggery, Organic Masalas & Spices",Female,Silver,5,664,Cash,Pending,12,36-45
7433356,M42513,"15668468, 15668379, 15668519, 15669760, 15669783",20-09-2013,"Beans, Other Vegetables, Bread, Whole Spices, Millet flour",Female,Bronze,8,594,PayPal,Shipped,5,19-25
7433384,M56897,"15668688, 15668478, 34986118, 15669887, 15668467, 15668379",20-09-2013,"Root Vegetables, Banana, Whole Spices, Maida, Beans, Other Vegetables",Female,Gold,6,364,Cash,Shipped,6,55+
7433488,M56255,"15670157, 15668378, 34986042, 15668381, 15670260, 15668685",20-09-2013,"Organic F&V, Other Vegetables, Mustard Oils, Other Vegetables, Organic F&V, Beans",Male,Silver,1,857,Cash,Shipped,6,55+
7433742,M45375,"7578347, 93289487, 15668688, 15669884, 15668378, 15669818, 15668465, 15669764",19-09-2013,"Chilli & Soya Sauces, Phenyles & Acids, Root Vegetables, Whole Spices, Other Vegetables, Whole Spices, Root Vegetables, Besan",Male,Silver,1,594,PayPal,Shipped,8,0-18
7433878,M50038,"15669815, 7624792, 34986133, 15668457, 29247226, 34987570",19-09-2013,"Jaggery, Ghee, Whole Spices, Brinjals, Whole Spices, Whole Spices",Male,Gold,5,977,PayPal,Pending,6,55+
7433915,M54345,"15668377, 15670010, 15668519, 15669957, 15669776, 15669869, 15668469, 15668458, 34986135",19-09-2013,"Root Vegetables, Almonds, Bread, Other Dry Fruits, Other Pulses, Moong Dal, Beans, Brinjals, Whole Spices",Male,Silver,7,896,PayPal,Shipped,9,55+
7434264,M77779,"15668381, 15668468, 15668379, 15668457, 15668462",20-09-2013,"Other Vegetables, Beans, Other Vegetables, Brinjals, Gourd & Cucumber",Female,Silver,3,444,PayPal,Pending,5,46-55
7434277,M36432,"15670252, 15669776, 21409002, 15669764, 15668457",20-09-2013,"Organic F&V, Other Pulses, Moong Dal, Besan, Brinjals",Female,Gold,4,80,Cash,Shipped,5,36-45
7434388,M58761,"7594821, 15668381, 15668379, 6884195, 15668375",20-09-2013,"Instant Noodles, Other Vegetables, Other Vegetables, Instant Noodles, Root Vegetables",Female,Gold,6,769,Cash,Delivered,5,46-55
7434439,M36432,"15668378, 15668381",20-09-2013,"Other Vegetables, Other Vegetables",Male,Gold,9,538,Cash,Delivered,2,0-18
7434471,M41781,"34986118, 7569802, 15668379, 15669764, 15668477, 15668471, 6884195, 15668381, 15668462, 7585573, 15668457, 92388000, 15669969, 15669860, 7569801, 15669863, 15669988, 15669884",20-09-2013,"Whole Spices, Snacks, Other Vegetables, Besan, Exotic Vegetables, Beans, Instant Noodles, Other Vegetables, Gourd & Cucumber, Cakes, Brinjals, Snacks, Cashews, Moong Dal, Snacks, Moong Dal, Other Pulses, Whole Spices",Female,Gold,1,559,PayPal,Delivered,18,46-55
7434581,M36876,"15668451, 15669789, 15668468, 15668685, 15669767, 15668375, 15669790",20-09-2013,"Brinjals, Boiled Rice, Beans, Beans, Urad Dal, Root Vegetables, Other Rice Products",Female,Gold,5,42,Cash,Delivered,7,55+
7434648,M35538,"15668465, 7726260, 7586553, 15670252, 7572307, 15670157, 15668688, 7586526, 15668478",20-09-2013,"Root Vegetables, Other Oils, Snacky Nuts, Organic F&V, Snacks, Organic F&V, Root Vegetables, Snacky Nuts, Banana",Male,Silver,8,190,PayPal,Shipped,9,0-18
7434940,M76390,"15668379, 15669780, 15669804",20-09-2013,"Other Vegetables, Sugar, Cashews",Female,Gold,8,951,Credit Card,Delivered,3,36-45
7435041,M84827,"15668458, 15670260, 15670255, 15669988, 15670252, 7587664, 15668416, 15668381, 7587512, 15668460, 15670157",20-09-2013,"Brinjals, Organic F&V, Organic F&V, Other Pulses, Organic F&V, Organic Pulses & Pulses, Banana, Other Vegetables, Organic Flours, Gourd & Cucumber, Organic F&V",Male,Silver,4,329,Cash,Shipped,11,55+
7435259,M45470,"15668468, 7594821",20-09-2013,"Beans, Instant Noodles",Male,Bronze,8,114,PayPal,Pending,2,46-55
7435287,M37253,"15668375, 15669787, 7569799, 15668478, 7629391, 15669878, 7617882, 15668451, 15668467, 15669829",21-09-2013,"Root Vegetables, Raw Rice, Snacks, Banana, Glucose, Marie & Milk Biscuits, Kidney Beans, Ready Mix, Brinjals, Beans, Raw Rice",Female,Bronze,7,532,Cash,Pending,10,46-55
7435350,M33422,"15669780, 34986129, 7664954, 15669787, 7729965, 15668381",21-09-2013,"Sugar, Whole Spices, Butter & Cream, Raw Rice, Sunflower Oils, Other Vegetables",Male,Bronze,6,892,PayPal,Delivered,6,55+
7435355,M78365,"7593949, 15668466, 15668377, 15669760",21-09-2013,"Cream Biscuits, Root Vegetables, Root Vegetables, Whole Spices",Male,Bronze,0,597,PayPal,Delivered,4,55+
7435704,M14746,"15670260, 15670157, 15669961, 15669965, 15668471, 15668381, 15668455, 15668457, 15668467, 15668688",21-09-2013,"Organic F&V, Organic F&V, Other Dry Fruits, Raisins, Beans, Other Vegetables, Brinjals, Brinjals, Beans, Root Vegetables",Male,Bronze,8,163,Cash,Pending,10,55+
7435860,M48938,"15668465, 15669817, 15668688, 15668458, 15668381, 15670255, 15669824, 15669832, 15668380",20-09-2013,"Root Vegetables, Whole Spices, Root Vegetables, Brinjals, Other Vegetables, Organic F&V, Raw Rice, Sugar, Other Vegetables",Female,Bronze,6,912,PayPal,Delivered,9,55+
7435923,M55932,"15668378, 34986448, 15668381, 7642814, 15668687, 15668478, 15670255",20-09-2013,"Other Vegetables, Toothpaste, Other Vegetables, Basmati Rice, Root Vegetables, Banana, Organic F&V",Male,Gold,1,686,Cash,Pending,7,26-35
7436039,M47229,"7580823, 15668378, 15668470, 15668451, 15670267, 15668688, 15668416, 15668467, 15668457",21-09-2013,"Sunflower Oils, Other Vegetables, Beans, Brinjals, Kidney Beans, Root Vegetables, Banana, Beans, Brinjals",Male,Gold,6,827,PayPal,Shipped,9,36-45
7436077,M99030,"15668381, 15668460, 15669777, 15669780, 15669878, 15668468, 15668453",21-09-2013,"Other Vegetables, Gourd & Cucumber, Urad Dal, Sugar, Kidney Beans, Beans, Brinjals",Male,Gold,0,583,Cash,Delivered,7,19-25
7436088,M58939,"15669780, 7571385, 7753742, 15669861, 15669880, 15670246, 15669783",21-09-2013,"Sugar, Glucose, Marie & Milk Biscuits, Health Drinks, Raw Peanuts, Millet flour, Organic F&V, Millet flour",Male,Bronze,10,457,Cash,Shipped,7,46-55
7436288,M59012,"15668478, 15669832",21-09-2013,"Banana, Sugar",Female,Silver,8,752,Cash,Delivered,2,55+
7436295,M12050,"15669772, 15669879, 7642486, 15669866, 15668471, 15668468, 15669878, 15669880, 15669767, 15668451, 7642488, 15668465, 15670252, 15668685, 15668375, 15670241, 15669988, 15668381, 15669868, 15670269",21-09-2013,"Other Pulses, Other Pulses, Ice Creams & Desserts, Other Pulses, Beans, Beans, Kidney Beans, Millet flour, Urad Dal, Brinjals, Ice Creams & Desserts, Root Vegetables, Organic F&V, Beans, Root Vegetables, Organic F&V, Other Pulses, Other Vegetables, Other Pulses, Other Pulses",Male,Gold,1,911,Credit Card,Shipped,20,19-25
7436388,M27458,"34986119, 15669863, 15669814, 34987569, 15668378, 15668460, 7587656, 15668688",21-09-2013,"Whole Spices, Moong Dal, Jaggery, Powdered Spices, Other Vegetables, Gourd & Cucumber, Organic Rice & Rice Products, Root Vegetables",Female,Silver,3,577,Credit Card,Delivered,8,55+
7436738,M63404,"15668469, 15668375, 15668460, 15670251, 15668458",21-09-2013,"Beans, Root Vegetables, Gourd & Cucumber, Organic F&V, Brinjals",Female,Gold,8,811,PayPal,Delivered,5,46-55
7436789,M16611,"15670251, 15670009, 15669861, 15670192, 15669960",21-09-2013,"Organic F&V, Almonds, Raw Peanuts, Organic F&V, Other Dry Fruits",Male,Silver,9,82,Cash,Delivered,5,55+
7436938,M33558,"15668684, 7625556, 15668478, 15669824, 15668466, 15668380, 15669878, 15668381",21-09-2013,"Beans, Ground Coffee, Banana, Raw Rice, Root Vegetables, Other Vegetables, Kidney Beans, Other Vegetables",Male,Gold,8,110,Cash,Delivered,8,19-25
7437033,M90375,15669789,21-09-2013,Boiled Rice,Male,Bronze,0,106,Credit Card,Delivered,1,36-45
7437182,M96365,"15668468, 15669771, 92387842, 15669856, 34986122, 15668457, 15669783, 15669863, 15669778",21-09-2013,"Beans, Maida, Other Sweets, Sugar, Whole Spices, Brinjals, Millet flour, Moong Dal, Other Pulses",Female,Gold,5,293,Cash,Delivered,9,36-45
7437668,M86304,"15668380, 15668460",22-09-2013,"Other Vegetables, Gourd & Cucumber",Male,Silver,6,350,PayPal,Shipped,2,55+
7437761,M86572,"15668377, 15668378, 15668470, 7587660, 15668462, 15668451, 15668467",22-09-2013,"Root Vegetables, Other Vegetables, Beans, Organic Flours, Gourd & Cucumber, Brinjals, Beans",Male,Silver,8,997,Credit Card,Pending,7,26-35
7438142,M50094,"15668378, 15668375, 15668457, 15668470, 15668463, 15668460, 15668467",22-09-2013,"Other Vegetables, Root Vegetables, Brinjals, Beans, Gourd & Cucumber, Gourd & Cucumber, Beans",Male,Silver,5,936,Cash,Delivered,7,55+
7438273,M35649,"15669874, 15668471, 15668688, 15668480, 15668478, 21408952, 15668462, 15670158",22-09-2013,"Avalakki / Poha, Beans, Root Vegetables, Bread, Banana, Whole Spices, Gourd & Cucumber, Organic F&V",Female,Gold,5,561,Credit Card,Shipped,8,55+
7438368,M45375,"15668379, 15669832, 15669884, 15669871, 15669790, 15669878",14-08-2013,"Other Vegetables, Sugar, Whole Spices, Other Rice Products, Other Rice Products, Kidney Beans",Female,Bronze,4,425,Cash,Pending,6,55+
7438373,M54382,"15669885, 15669869, 15669860, 29247044",14-08-2013,"Moong Dal, Moong Dal, Moong Dal, Besan",Female,Bronze,8,831,Cash,Shipped,4,36-45
7438459,M91098,"15668467, 15668379, 7580802, 15669790, 15669810, 15668381, 15669785, 15668451, 15668462, 15669861, 15669777, 15669814, 15669775",14-08-2013,"Beans, Other Vegetables, Sunflower Oils, Other Rice Products, Almonds, Other Vegetables, Boiled Rice, Brinjals, Gourd & Cucumber, Raw Peanuts, Urad Dal, Jaggery, Millet flour",Male,Bronze,10,756,Cash,Shipped,13,55+
7438466,M96365,"15668460, 7580095, 15669856, 15669885, 15669803, 15668467, 7629391, 7735707, 15670270",14-08-2013,"Gourd & Cucumber, Ice Creams & Desserts, Sugar, Moong Dal, Cashews, Beans, Glucose, Marie & Milk Biscuits, Snacks, Other Pulses",Male,Silver,5,124,Credit Card,Shipped,9,55+
7438564,M54100,"15669817, 15668379, 15668477, 21408947",14-08-2013,"Whole Spices, Other Vegetables, Exotic Vegetables, Other Rice Products",Male,Silver,9,453,Credit Card,Delivered,4,55+
7438766,M09303,"15669958, 7572314, 15668478, 7736902, 7569802, 15668468, 7653522, 15669976, 7572307",14-08-2013,"Other Dry Fruits, Snacks, Banana, Snacks, Snacks, Beans, Snacks, Almonds, Snacks",Female,Bronze,5,993,PayPal,Shipped,9,55+
7438987,M62656,"15668477, 15670245, 15668453, 15668469, 15668381, 15669777, 15670267",14-08-2013,"Exotic Vegetables, Organic F&V, Brinjals, Beans, Other Vegetables, Urad Dal, Kidney Beans",Female,Silver,7,182,PayPal,Shipped,7,19-25
7439153,M48101,"15668688, 7653522",14-08-2013,"Root Vegetables, Snacks",Male,Bronze,4,658,PayPal,Shipped,2,26-35
7439169,M51278,"15668468, 15668688, 15668381, 15668478",14-08-2013,"Beans, Root Vegetables, Other Vegetables, Banana",Male,Gold,7,829,Cash,Shipped,4,55+
7439279,M76390,"15668467, 15669786, 15669779",14-08-2013,"Beans,Flat Rice, Boiled Rice",Male,Silver,7,166,PayPal,Delivered,3,55+
7439354,M31101,"21408952, 15670250, 7561688",14-08-2013,"Whole Spices, Organic F&V, Snacks",Female,Bronze,2,885,PayPal,Pending,3,36-45
7439409,M56368,"15668688, 15668379, 15668467, 15668460, 15669834",15-08-2013,"Root Vegetables, Other Vegetables, Beans, Gourd & Cucumber, Raw Rice",Female,Gold,7,358,Cash,Shipped,5,55+
7439637,M25900,"15668378, 92380533, 34987220, 7573027, 15668688, 15668465, 7575476, 15668381, 15669880, 15670251, 15668467, 15668462, 15668460, 7735555, 15668478",15-08-2013,"Other Vegetables, Regular Pasta, Ice Creams & Desserts, Antiseptics, Root Vegetables, Root Vegetables, Pain Relievers, Other Vegetables, Millet flour, Organic F&V, Beans, Gourd & Cucumber, Gourd & Cucumber, Rasagulla & Gulab Jamun, Banana",Female,Gold,9,132,Credit Card,Shipped,15,26-35
7439705,M45470,"15668687, 7593949, 92436884, 15668519, 15668471, 7586311, 15669856, 7571089, 15669789, 15669860, 15668465, 15669773, 15669881",15-08-2013,"Root Vegetables, Cream Biscuits, Glucose, Marie & Milk Biscuits, Bread, Beans, Chips, Sugar, Energy Drinks, Boiled Rice, Moong Dal, Root Vegetables, Urad Dal, Millet flour",Female,Bronze,4,592,Cash,Delivered,13,36-45
7439912,M63404,"15668453, 15668463, 15668381, 15668469, 15668460",14-08-2013,"Brinjals, Gourd & Cucumber, Other Vegetables, Beans, Gourd & Cucumber",Male,Bronze,3,857,Credit Card,Pending,5,55+
7439975,M35538,"15668465, 15668416, 15670252, 7586556, 15668381, 15670250, 15670260, 7586526, 15668451, 15668688, 15670157, 7586553, 15668468, 15670251",14-08-2013,"Root Vegetables, Banana, Organic F&V, Snacks, Other Vegetables, Organic F&V, Organic F&V, Snacky Nuts, Brinjals, Root Vegetables, Organic F&V, Snacky Nuts, Beans, Organic F&V",Female,Gold,5,216,Cash,Shipped,14,55+
7440030,M27871,"15670250, 15670259, 15670196, 15670163, 15668688",14-08-2013,"Organic F&V, Organic F&V, Organic F&V, Organic F&V, Root Vegetables",Female,Gold,3,948,Cash,Shipped,5,46-55
7440085,M54619,"92308936, 15669961, 15670157, 93073679, 15669972, 15670251, 7587691, 15668520, 7572311, 15670269, 15669869, 15670010, 7572301, 7572302, 7587491",14-08-2013,"Snacks, Other Dry Fruits, Organic F&V, Snacks, Cashews, Organic F&V, Organic Masalas & Spices, Bread, Snacks, Other Pulses, Moong Dal, Almonds, Snacks, Snacks, Organic Flours",Male,Bronze,4,755,Cash,Pending,15,55+
7440103,M32480,"7624788, 93073679, 15668685",14-08-2013,"Ghee, Snacks, Beans",Male,Silver,2,655,Cash,Pending,3,55+
7440404,M54345,"29247044, 15668519, 15669958, 15670010, 15668520, 7629391, 7578351",15-08-2013,"Besan, Bread, Other Dry Fruits, Almonds, Bread, Glucose, Marie & Milk Biscuits, Chinese Noodles",Male,Silver,5,987,Cash,Pending,7,55+
7440486,M50038,"7644980, 15668462, 15668494, 7586309, 15668594, 15668379",15-08-2013,"Pasta & Noodles, Gourd & Cucumber, Exotic Vegetables, Chips, Exotic Vegetables, Other Vegetables",Male,Gold,5,215,Credit Card,Delivered,6,55+
7440603,M14746,"15668381, 15670157, 15668465, 15669957, 7624786, 15670260, 15670196, 15670251, 15670252, 7543247",15-08-2013,"Other Vegetables, Organic F&V, Root Vegetables, Other Dry Fruits, Ghee, Organic F&V, Organic F&V, Organic F&V, Organic F&V, Organic Pulses & Pulses",Male,Gold,2,461,Credit Card,Shipped,10,55+
7440775,M04158,"7629390, 21409004, 15669869",16-08-2013,"Glucose, Marie & Milk Biscuits, Other Pulses, Moong Dal",Male,Bronze,8,57,PayPal,Pending,3,55+
7440785,M33491,34987615,16-08-2013,Milk,Female,Bronze,10,486,Cash,Shipped,1,55+
7441226,M57354,15669760,15-08-2013,Whole Spices,Male,Silver,2,670,PayPal,Pending,1,55+
7441437,M33064,7617882,16-08-2013,Ready Mix,Male,Bronze,5,947,Cash,Pending,1,55+
7441615,M59012,"15670246, 15670259, 15670171, 15670172, 15670157",16-08-2013,"Organic F&V, Organic F&V, Organic F&V, Organic F&V, Organic F&V",Male,Silver,3,627,PayPal,Pending,5,26-35
7441974,M41747,"15668381, 15668465, 15668468, 15668688, 15668455, 15668379",16-08-2013,"Other Vegetables, Root Vegetables, Beans, Root Vegetables, Brinjals, Other Vegetables",Female,Bronze,9,953,PayPal,Pending,6,36-45
7442019,M52629,"15670252, 7593949, 7569799, 7585573, 7586304, 92910992, 7569801, 15670242, 7585571",16-08-2013,"Organic F&V, Cream Biscuits, Snacks, Cakes, Snacks, Healthy Snacks, Snacks, Organic F&V, Cakes",Female,Bronze,7,939,Credit Card,Shipped,9,55+
7442020,M99030,"15669861, 15668460, 15669870, 15669764, 15668453, 15668468, 15668381, 15668379",16-08-2013,"Raw Peanuts, Gourd & Cucumber, Millet flour, Besan, Brinjals, Beans, Other Vegetables, Other Vegetables",Female,Gold,10,398,Cash,Shipped,8,55+
7442236,M33064,"15669988, 15669856, 15669869, 15669884, 15668463, 15670271, 21408953, 15668476, 15668466, 15668688, 15668471, 15669838, 34986128, 15668468, 34986133, 15669885, 7642814",16-08-2013,"Other Pulses, Sugar, Moong Dal, Whole Spices, Gourd & Cucumber, Other Pulses, Whole Spices, Exotic Vegetables, Root Vegetables, Root Vegetables, Beans, Raw Rice, Whole Spices, Beans, Whole Spices, Moong Dal, Basmati Rice",Male,Bronze,1,288,Credit Card,Pending,17,0-18
7442497,M50767,"7629390, 15669780, 15668451, 15668688, 15669864, 15668520, 15670252, 15668468",17-08-2013,"Glucose, Marie & Milk Biscuits, Sugar, Brinjals, Root Vegetables, Other Pulses, Bread, Organic F&V, Beans",Female,Bronze,4,591,PayPal,Shipped,8,55+
7442624,M56255,"15668460, 21409004, 15669835, 15669977, 15668688, 15668379, 15670245, 15668468, 15670157, 15670269",17-08-2013,"Gourd & Cucumber, Other Pulses, Raw Rice, Almonds, Root Vegetables, Other Vegetables, Organic F&V, Beans, Organic F&V, Other Pulses",Male,Gold,6,160,Credit Card,Delivered,10,55+
7442631,M64379,"15670252, 92436826, 7587679, 15668468, 7629391, 15668462, 15668688, 15668685, 15668521",17-08-2013,"Organic F&V, Washing Bars, Organic Flours, Beans, Glucose, Marie & Milk Biscuits, Gourd & Cucumber, Root Vegetables, Beans, Bread",Male,Bronze,6,751,PayPal,Delivered,9,55+
7443111,M36432,"15668460, 15669869, 15668378",17-08-2013,"Gourd & Cucumber, Moong Dal, Other Vegetables",Female,Bronze,6,382,PayPal,Delivered,3,46-55
7443191,M42182,"15669780, 15668460, 15668381, 15668478",16-08-2013,"Sugar, Gourd & Cucumber, Other Vegetables, Banana",Female,Silver,7,677,Credit Card,Shipped,4,19-25
7443306,M16218,"15669856, 15668453, 15668688, 15668378, 15669838, 15668469",17-08-2013,"Sugar, Brinjals, Root Vegetables, Other Vegetables, Raw Rice, Beans",Female,Silver,7,22,Credit Card,Delivered,6,55+
7443456,M86304,"15668460, 15668378, 15668381",17-08-2013,"Gourd & Cucumber, Other Vegetables, Other Vegetables",Male,Silver,6,639,PayPal,Pending,3,46-55
